idx,category,arabic,definition,difficulty,discrimination
30,Animals (Real or Toy),القطة.ف,cat,-0.12136777954457834,1.645658573141712
33,Animals (Real or Toy),سمكة.ف,fish.animal,-2.083166927071252,2.129656821525118
62,Animals (Real or Toy),ذئب.ف,wolf,-4.805649133794139,2.382167639143544
63,Animals (Real or Toy),حيوان.ف,animal,-3.3202757715984377,2.1245294224961633
67,Animals (Real or Toy),خنزير.ف,pig,-5.219909860693636,2.123419072898785
79,Toys,كرة.ف,ball,-0.001536228819843774,2.10467695152623
81,Toys,قلم.ف,pen,-1.9777691106905757,2.7572401965916913
83,Toys,مقص.ف,scissors,-3.280147300694262,2.8274126972173224
92,Toys,لعبة.ف,toy,-2.350785740756725,3.191247561071389
103,Toys,العاب.ف,toys,-2.0440257585439077,2.6481744986825433
107,Vehicles (Real or Toy),السيارة.ف,car,-0.16390040464289954,2.1688705634854313
109,Vehicles (Real or Toy),بوليس.ف,police.car,-3.546442606098923,2.2314542569103195
110,Vehicles (Real or Toy),طيارة.ف,airplane,-1.8772652298032904,2.3849363350953245
111,Vehicles (Real or Toy),سفينة.ف,ship,-3.9433056754954863,2.608090516476794
122,Vehicles (Real or Toy),عربية.ف,stroller,-3.152176172061665,2.471374571233442
136,Food and Drink,شوكلاته.ف,chocolate,-1.6966920625228292,2.9817469300823096
163,Food and Drink,موز.ف,banana,-1.9786467381266288,2.9268299406525355
165,Food and Drink,عنب.ف,grapes,-3.4712773900372036,2.980921144711991
167,Food and Drink,كاتشب.ل,ketchip,-3.198840384013822,2.9199277303553988
173,Food and Drink,ماء.ف,water,-0.18559223273256772,1.861299733612593
211,Clothing,تنورة.ف,skirt,-4.946098113078698,2.7582317253531214
218,Clothing,بنطلون.ف,pants,-2.940708886974436,2.7535150800768156
220,Clothing,جزمة.ف,shoes,-1.285183835829876,2.3324040165352926
230,Clothing,خاتم.ف,ring,-4.004999587695014,2.7316742821771203
233,Clothing,حزام.ف,belt,-4.992771754453639,2.8703107076356678
249,Body Parts,عين.ف,eye,-1.5364345600278788,3.5789312553235213
250,Body Parts,وش.ف,face,-4.400449688862438,4.450817855125532
260,Body Parts,شعر.ف,hair,-2.032091687033433,3.8575879600376584
263,Body Parts,راس.ف,head,-3.00191795059924,3.9858405119679245
267,Body Parts,لسان.ف,tongue,-3.7001112692050175,3.7434922829110775
290,Small Household Items,كأس.ف,glass.to.drink,-3.7012863048225655,5.169448084473013
303,Small Household Items,حقيبة.ف,bag,-3.973211003762277,4.562955642690178
315,Small Household Items,صحن.ف,plate,-3.6450006186382113,4.479449558624448
334,Small Household Items,ساعةح.ف,clock,-4.591326883750394,4.7042644283733
345,Small Household Items,جوال.ف,phone,-1.1505959952968448,2.600524652874084
351,Furniture and Rooms,حمام.ف,bathroom,-0.5951323896860391,2.8741420416135077
368,Furniture and Rooms,مراية.ف,mirror,-5.065212070843037,4.141601024844616
370,Furniture and Rooms,كرسي.ف,chair,-3.8251534467258503,3.885188882893043
384,Furniture and Rooms,مطبخ.ف,kitchen,-3.5226113375403347,4.0081079238273665
393,Furniture and Rooms,نقالة.ف,stretcher,-8.836109374976719,4.038595869256646
408,Outside Things,شجرة.ف,tree,-4.359761452376978,3.7792954132596335
412,Outside Things,شمس.ف,sun,-3.784538049559167,3.451197210226188
416,Outside Things,مطر.ف,rain,-3.7844036879250313,3.4175063800791072
422,Outside Things,بيت.ف,house,-2.3354109448882463,3.0379250479060933
436,Outside Things,رمل.ف,sand,-4.209112980998737,3.360053623805292
450,People,ماما.ف,mama,1.4753185351748257,1.2394015580998206
454,People,رجال.ف,man,-3.349901054871092,3.327839380042557
463,People,اخ.ف,brother,-4.473949951264232,3.161716753166009
466,People,طبيب.ف,doctor,-4.372008502898371,3.685288823830604
476,People,حلاق.ف,barber,-5.455175023964954,3.1974886141929755
493,Games and Routines,عشا.ف,dinner,-3.442438150392997,3.2005952027912223
505,Games and Routines,استني.ف,wait.imperative,-3.38989525995776,3.2077290634089706
508,Games and Routines,كبيرة.مرة.ف,so.big,-3.946553287276307,3.1592117759123055
517,Games and Routines,اهدأ.ف,calm.down,-5.678108390570064,3.1774413058143334
519,Games and Routines,باي.باي.ف,bye.bye,0.13194848566875425,1.827421947784978
531,Action words,ينام.ف,sleep,-0.838654279892309,2.2814262615803056
602,Action words,ياخذ.ف,take,-5.110040054796085,4.049162876595166
605,Action words,ينزل.ف,go.down.1,-4.835455802216889,3.983773619234615
625,Action words,يرش.ف,spray,-5.179249708611151,4.0165063980390885
653,Action words,يسرع.ف,hurry,-4.849399196311447,3.9968770968343783
665,Descriptive Words,ناشف.ف,dry.adj,-6.320073375473082,3.8570341767628937
704,Descriptive Words,خائف.ف,afraid,-5.6605123498648,4.160356088134161
705,Descriptive Words,مريض.ف,sick,-6.434013668405803,4.139072446562815
709,Descriptive Words,يع.ف,yuck.2,-1.034379268620837,1.856478861021588
733,Descriptive Words,كويس.ف,good,-6.363637902755783,3.8478219064542185
746,Words About Time,ليل.ف,night,-5.770474505173917,3.5996042014901826
747,Words About Time,بكرةة.ف,tomorrow.2,-5.5740744852875235,3.60041878552906
749,Words About Time,الصباح.ف,morning,-5.039840011186553,3.246025063224575
751,Words About Time,اليوم.ف,today,-5.028931275730584,3.0409150133039295
756,Words About Time,الحين.ف,now,-4.163279025118358,2.926553644782953
757,Question Words,كيف.ف,how,-4.284792682653652,2.5428066418743174
758,Question Words,مين.ف,who,-0.995189877259433,1.548003368137223
760,Question Words,ماذا.ف,what,-2.121967672566886,1.9691525145561308
761,Question Words,اين.ف,where,-1.8854702869716855,2.2135833094375226
762,Question Words,لماذا.ف,why,-2.2006018830398126,1.9640104561595986
767,Pronouns ,انا.ف,i,-1.1595506205241861,1.9961349213984605
768,Pronouns ,ذالك.ف,that.masculine.1,-5.046770228992912,2.6693002516726665
771,Pronouns ,لها.ف,hers,-4.037016942241965,2.6157741631494877
773,Pronouns ,نحن.ف,we,-5.90958135183539,2.8794179796642214
776,Pronouns ,انتي.ف,you.feminine,-4.041060352827933,2.9096612497261916
782,Negation words,مافي.ف,there.is.nothing,-2.3487538535811776,2.574951494900827
785,Negation words,ما.احب.ف,i.dont.like,-3.813697245515225,2.896717088258478
787,Negation words,مو.حلو.ف,not.nice,-3.084540213409575,3.10425675092582
789,Negation words,بح.ف,finished.no.more,-1.3777780781092526,1.7202286378963176
790,Negation words,موحقي.ف,not.mine,-3.6766242743812296,2.6975919470237244
794,Quantifiers,قدبعض.ف,alike,-6.1380730140113515,3.672791551416148
797,Quantifiers,واناكمان.ف,me.too,-4.026773580480214,3.0788654394348547
803,Quantifiers,اخر.ف,another.1,-6.079724950041671,2.925720052265477
809,Quantifiers,اتنين.ف,two,-1.9943295607663116,1.738370002233183
817,Quantifiers,كتير.ف,a.lot.2,-4.412324262643324,2.9850094690797215
820,Prepositions and Locations,فوق.ف,above,-2.190350197594676,3.0273967512667728
821,Prepositions and Locations,جنب.ف,next.to,-5.98478632230546,3.8695015718204364
822,Prepositions and Locations,جوه.ف,inside,-4.018935581893817,3.0562476817022977
827,Prepositions and Locations,امام.ف,in.front.of,-5.232194257307769,3.376615612193839
828,Prepositions and Locations,على.ف,on,-5.673631215967391,3.1569287557539645
841,Connecting Words and Letters,الوا.ف,and,-2.9826989539428346,2.099220246670782
842,Connecting Words and Letters,الا.ف,except,-3.6906440678975954,1.9889740883451974
844,Connecting Words and Letters,لكن.ف,but,-5.299064357790445,2.1879504230202285
845,Connecting Words and Letters,كمان.ف,also,-3.07402253249025,2.3799310395297293
846,Connecting Words and Letters,اذا.ف,if.2,-5.1677127697827085,2.217904151730859
